S220153,188,B,24.42,39,212,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220154,201,B,24.42,39,216,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220155,52,B,69.7,16,28,,,tessera,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220156,92,B,69.7,26,45,,,tessera,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220157,205,B,24.42,40,219,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220158,206,B,24.42,40,219,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220159,137,B,25.62,67,298,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220160,62,B,41.3,26,78,,B22-1409,carbonized seed,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220161,129,B,25.62,39,129,,,carbon,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220162,128,B,25.62,65,65,,,charcoal twigs,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220163,111,B,69.7,29,50,,,tabun frags,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220164,138,B,25.62,39,303,,,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220165,112,B,69.7,29,50,,,shell,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220166,113,B,69.7,29,50,,B22-1407,seeds,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220167,123,B,25.62,39,123,,,charcoal wood,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220168,126,B,25.62,39,126,,B22-1397,carbon,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220169,105,B,69.7,29,50,,,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220170,106,B,69.7,29,50,,,bulk charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220171,195,B,24.42,61,217,,,rock,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220172,120,B,25.62,39,297,,,shell,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220173,103,B,25.61,5,148,,,newly broken glass,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220174,104,B,25.61,5,148,,,bronze frag,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220175,78,B,42.21,55,157,,,shell,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220176,73,B,41.3,27,81,,,seeds,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220177,124,B,25.62,65,302,,,metal wire,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220178,99,B,42.21,43,166,X,,UD/ Frit?,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220179,114,B,69.7,31,54,,,unfired tabun,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220180,119,B,69.7,29,53,,,glass,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220181,159,B,69.7,29,53,,,bulk charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220182,115,B,69.7,29,53,,B22-1434,charcoal seeds,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220183,219,B,24.42,76,222,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220184,145,B,25.62,67,305,,,ceramic tech/mend,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220185,144,B,25.62,65,302,,,ceramic tech/mend,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220186,111,B,25.61,19,154,,B22-1502,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220187,8,B,39.44,0,0,,B22-0187,ceramic tech weight?,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220188,71,B,41.3,27,81,,,phytolith,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220189,94,B,69.7,7,46,,B22-1268,tabun frags,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220190,66,B,41.3,27,80,,,phytoliths,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220191,,B,25.62,39,293,,,residue on cooking pot/to Betty,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220192,124,B,69.7,34,58,,B22-1564,seed,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220193,153,B,25.62,71,316,,B22-1621,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220194,125,B,69.7,34,58,,B22-1565,seed,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220195,116,B,25.61,51,155,,,shell,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220196,77,B,41.3,29,82,,B22-1558,bone for dating,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220197,123,B,25.61,51,157,,,glass,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220198,122,B,25.61,51,157,,B22-1628,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220199,129,B,69.7,24,60,,,glass,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220200,131,B,69.7,29,57,,,tabun frags,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220201,157,B,25.61,51,157,,,slag sample,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220202,133,B,69.7,29,57,,,seed,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220203,157,B,25.62,68,309,,,ceramic tech/mend,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
